Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001167740	SMYD3	38169.8241878598	-1.01448308794346	0.0172928244281353	-58.6649735651571	0	0
NM_004083	DDIT3	8381.56138403005	2.1327551065337	0.0336464041092395	63.3873117498471	0	0
NM_001243879	TRA2B	9443.20047812955	1.15357648920507	0.0291351128342758	39.594028544415	0	0
NM_014685	HERPUD1	14866.4005266386	2.33086633650334	0.0266631837696385	87.4189052830782	0	0
NR_028388	FUS	16680.2572683689	1.15302177334565	0.0236392360661436	48.775762893498	0	0
NM_003486	SLC7A5	6692.46434102562	1.41971087552066	0.0369497797740388	38.4227154857945	0	0
NM_024817	THSD4	19109.5063155937	-1.59183948982717	0.0205337581267083	-77.5230466826562	0	0
NM_016333	SRRM2	15369.7748482321	-1.48415644222129	0.0248691238293375	-59.6786783646339	0	0
NM_018413	CHST11	20111.1157249964	-0.750567945508483	0.0196442642619895	-38.2079947356842	0	0
NM_153456	HS6ST3	17383.5057357114	-0.990117228433863	0.0220204050000665	-44.9636248030348	0	0
NM_001033057	MAGI1	21015.8896971214	-0.875172550416746	0.0193237687071588	-45.2899516486412	0	0
NM_139245	PPM1L	12565.5696428415	-0.931154932924716	0.0245965784532705	-37.8570919810558	0	0
NM_018717	MAML3	12525.3050029121	-1.05058436705197	0.0247054126166159	-42.5244614755142	0	0
NM_080800	COL13A1	31291.25058199	-1.05598368057266	0.016939221380659	-62.3395643071511	0	0
NR_030725	RCC1	12440.7850516024	1.05379329861291	0.0257651749512864	40.899908524017	0	0
NR_002819	MALAT1	42758.4526638375	-0.862955731237251	0.014983907614649	-57.5921684403328	0	0
NR_027653	KLF6	4433.93637780315	1.94051123341945	0.0462647558356366	41.9436177360029	0	0
NM_003628	PKP4	13496.8588572285	-0.908428189673012	0.0233341373629508	-38.9312951896556	0	0
NM_001145798	CACNB4	13778.0664349568	-0.977877060449615	0.0230154337345476	-42.4878832060314	0	0
NR_024391	LOC647946	9912.86217554119	-1.17178964783283	0.0282099973820938	-41.5380984252276	0	0
NM_152653	UBE2E2	10119.90881217	-1.1905941650652	0.026749243494479	-44.5094518396731	0	0
NM_005347	HSPA5	4963.50225820911	1.64020024908835	0.0408314556396088	40.1700165569719	0	0
NM_006013	RPL10	4695.58592502993	1.62044313694933	0.041820963153956	38.7471501070879	0	0
NM_004396	DDX5	10172.6322683223	1.12059396625296	0.0278695332460481	40.2085659763197	0	0
NM_182626	C2orf48	4105.15433244752	-1.60754869329832	0.041699010212464	-38.5512434253851	0	0
NM_016373	WWOX	12078.9325370152	-1.57795334654855	0.0252152797520106	-62.5792520276411	0	0
NR_040724	RBM39	9391.8438128235	1.15465824321972	0.0291688854013724	39.5852713372925	0	0
