Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_005381	NCL	5924.76720275327	2.2242018974759	0.0411566802259138	54.042305775563	0	0
NM_001002876	CENPM	4289.38659029668	4.04668250658547	0.0555628749062564	72.8306897980509	0	0
NM_080759	DACH1	55150.1429489644	0.972669344401107	0.0193995389256859	50.1387867065875	0	0
NM_182543	NSUN6	13060.1201229633	3.5868634391412	0.0322695012118922	111.153358571881	0	0
NR_037868	LOC100507178	2859.21284227603	-2.83063503212734	0.0734036462583256	-38.5625943180756	0	0
NM_001159746	ABR	6677.54766293921	1.65189888470469	0.0386337666243402	42.7579040057655	0	0
NM_000937	POLR2A	10921.3826285496	2.76308893492931	0.0341727244109116	80.8565598020342	0	0
NM_001167740	SMYD3	8665.67361484008	1.71734762054401	0.03561600442942	48.2184244992238	0	0
NM_207303	ATRNL1	6660.38397151789	3.48116834530101	0.0422763069914697	82.343245969981	0	0
NM_014067	MACROD1	6573.52694012904	2.66790237661924	0.0394345851550031	67.6538720042998	0	0
NM_000110	DPYD	20259.7549213785	1.11312892583463	0.0250952971847861	44.3560766640156	0	0
NM_001312	CRIP2	1530.32168716707	3.76816738969851	0.0867564415671667	43.4338629112767	0	0
NM_031935	HMCN1	15881.730820536	1.27937586884783	0.0284330598458963	44.9960671057527	0	0
NM_001024937	MINK1	3572.89121221731	2.07109425937271	0.0517909480194945	39.9895027716645	0	0
NM_203487	PCDH9	16802.8810776195	2.23699809407163	0.0258402872212462	86.5701714117304	0	0
NM_001098512	PRKG1	31516.3275627547	1.87929294309411	0.0202686639515116	92.7191327257639	0	0
NM_001017963	HSP90AA1	3890.68157754713	2.64171533993432	0.0515796253612341	51.2162568346176	0	0
NM_004655	AXIN2	34006.3098001367	-0.81241391814962	0.020449733003282	-39.727360646676	0	0
NM_000393	COL5A2	8797.6095819877	1.31170496774831	0.0333014925094039	39.3887741631371	0	0
NM_016246	HSD17B14	7197.96662841568	3.19213081444449	0.0414500690075208	77.0114716543731	0	0
NM_005009	NME4	7922.38229362218	4.1153420703029	0.0842335836179955	48.8563099602437	0	0
NM_016373	WWOX	8265.14961048967	1.64217092864587	0.0339279495565414	48.4017145188561	0	0
NM_174970	ST3GAL3	6660.00809802775	1.59602571102122	0.0380440538718861	41.9520410836307	0	0
NM_016333	SRRM2	9738.89911822882	1.73492917062234	0.0325627489573876	53.2795671794389	0	0
NR_024391	LOC647946	12394.554210775	1.96753050580582	0.0289154952672527	68.0441572112403	0	0
