Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_031313	ALPPL2	343.721538527555	-4.01536222929799	0.278931014238911	-14.3955387688038	5.51930970421046e-47	4.23772599089279e-43
NM_001632	ALPP	288.565803574847	-3.81335862615777	0.267664075538076	-14.2468077514396	4.69246000628063e-46	1.80143539641113e-42
NR_015379	UCA1	371.180556572092	-3.26071699874878	0.234878625815987	-13.8825616312289	8.0803682089104e-44	2.06803557026714e-40
NM_012242	DKK1	411.635223282698	-2.68725552821308	0.270370075355755	-9.93917512756235	2.81145490412137e-23	5.39658768846096e-20
NM_001005376	PLAUR	8417.74778023285	1.5573707078507	0.158505791284132	9.82532370100608	8.75921703486288e-23	1.34506536787354e-19
NM_002272	KRT4	199.967986646871	-2.61601160111004	0.276281060649864	-9.46866062753886	2.83454786170437e-21	3.62727641369436e-18
NM_001080480	MBOAT1	5180.03864405996	-1.21698109897791	0.14093634494635	-8.63496991809436	5.87424938247586e-18	6.4432123940928e-15
NM_021818	SAV1	1428.90413367419	-1.39333480662472	0.162213102192892	-8.58953307586629	8.73234656050646e-18	8.38086961144608e-15
NM_001145816	HPGD	798.922590992486	-2.00643231273441	0.237798866658111	-8.4375183991903	3.24146107888114e-17	2.48879381636494e-14
NM_052854	CREB3L1	615.96312167264	1.68438466302508	0.199469255124269	8.44433224546666	3.05788342988599e-17	2.48879381636494e-14
NM_004815	ARHGAP29	2936.46546219489	-1.27362662536161	0.154334306833854	-8.25238828287679	1.55260015072363e-16	1.08371490520509e-13
NM_000775	CYP2J2	1277.79980819389	-1.93399380781526	0.235300294792742	-8.21925790411258	2.04766269166674e-16	1.31016284555144e-13
NM_006350	FST	316.462599686867	-1.85220793665345	0.227068184734678	-8.1570561671495	3.43288774983102e-16	2.02751631870789e-13
NM_000693	ALDH1A3	7054.0529085648	-1.19889164896276	0.147190099607799	-8.14519218451045	3.78679977790942e-16	2.07678919248489e-13
NM_014861	ATP2C2	2760.02642106155	1.17668374013983	0.145560400207583	8.08381770359084	6.2770139259751e-16	3.21299419490912e-13
NM_001009562	SLCO1B7	1177.60121557378	-1.54124289862648	0.193000556679071	-7.98569146714594	1.39736787669045e-15	6.7056190982683e-13
NM_014271	IL1RAPL1	26127.6815933631	-1.5258178478936	0.192725875993558	-7.91703677582245	2.43237820620279e-15	1.09857646277794e-12
NM_032427	MAML2	8856.41760766515	-1.41503882288372	0.180600068590124	-7.83520645329978	4.68072968758556e-15	1.99659125229344e-12
NM_001040129	SPINK13	4540.64127627739	-1.52380744880854	0.196054525910915	-7.77236557905805	7.7033736189713e-15	3.11297382349798e-12
NM_005328	HAS2	534.280978424329	-1.54684290775253	0.204557863033378	-7.5618843725412	3.97271466849585e-14	1.52512516123556e-11
NM_130850	BMP4	1410.54917980643	-1.41458495877086	0.194938975026419	-7.25655276775281	3.9707986797047e-13	1.45179963156061e-10
NR_028379	FTX	9878.73222454382	-1.41307201108747	0.195355451143021	-7.23333801447367	4.71264484126321e-13	1.64471304960086e-10
NM_001753	CAV1	630.862609083694	-1.31641815031631	0.184954453885037	-7.11752608636593	1.09881427927166e-12	3.66812871141207e-10
NM_032865	TNS4	5353.9225190004	-0.972634052585043	0.13813043941821	-7.04141720450374	1.90294279369274e-12	6.08783115415537e-10
NM_001508	GPR39	3417.26557101564	-1.29614135734226	0.185839711691818	-6.97451231247971	3.06933665039746e-12	9.42654672070069e-10
NM_001159575	SCNN1A	1152.51577477564	-1.15166345423393	0.166959851414317	-6.89784666480106	5.27966875819954e-12	1.55912679713292e-09
NM_182543	NSUN6	3084.06293805833	1.27640515283104	0.185307982921736	6.88802032543912	5.65741296731065e-12	1.60880062085226e-09
NM_018602	DNAJA4	5561.67952754814	-0.967459899643416	0.141156970866348	-6.85378762172105	7.19198323043479e-12	1.9721445444028e-09
NM_005063	SCD	2486.52025708001	-1.1814728386633	0.174775522565051	-6.75994453527413	1.38044576391998e-11	3.5330208584592e-09
NM_001146036	SLC14A1	266.933828881216	-2.01475439092056	0.297986102688794	-6.76123608698857	1.36819361339129e-11	3.5330208584592e-09
NM_007028	TRIM31	1830.07563558231	-1.03038715009707	0.152607359615836	-6.75188374067217	1.45937800268143e-11	3.61454977567355e-09
NM_001042467	MLPH	2910.77858066114	0.970146524127422	0.144949859118908	6.69298011067106	2.18670870441327e-11	5.24673419765158e-09
NM_002483	CEACAM6	616.515961093634	-1.64169541084313	0.246389449246875	-6.6630101891993	2.6827505419964e-11	6.24186626104495e-09
NM_001195290	SPINK6	190.83131179246	-1.86024312283898	0.280249623280473	-6.63780775532836	3.18382726395255e-11	7.18983109783167e-09
NM_181673	OGT	6296.24483542822	-1.30003087907342	0.197686685232377	-6.57621871470634	4.8256257864008e-11	1.05860442251387e-08
NM_024817	THSD4	90494.144366004	-1.17248753778891	0.180250206109536	-6.50477779246697	7.78083069875895e-11	1.65947828069642e-08
NR_027054	MIR31HG	4093.96873717404	-0.998916692517042	0.156849958356626	-6.36861305532403	1.90745147910984e-10	3.95821958286631e-08
NM_004964	HDAC1	2124.19326538019	0.944946194368631	0.149310913483755	6.32871484288011	2.47211477216477e-10	4.99497295281083e-08
NM_153013	NADKD1	1431.43980078849	-1.21596398500181	0.194608789686255	-6.2482480208739	4.15082190178465e-10	8.17179757997501e-08
NM_014498	GOLIM4	1716.73126198265	-0.968301223984339	0.155089522035562	-6.24349866628842	4.27889960313851e-10	8.21334778822438e-08
NM_002898	RBMS2	3494.38384203494	-0.894470155217241	0.143538758932811	-6.23155837397154	4.61817844732858e-10	8.64838393136313e-08
NM_004751	GCNT3	2822.86903749795	-1.1378385480243	0.184978815590883	-6.15118301190148	7.69071111472355e-10	1.40593523663922e-07
