Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_002012	FHIT	13329.4571838124	-1.40624425485643	0.0366906172452352	-38.3270808843928	0	0
NM_032892	FRMD5	11061.8502552117	-2.48011437655428	0.0430201445074032	-57.6500707971235	0	0
NM_002417	MKI67	6964.43609497553	-1.66795838881546	0.044022484281414	-37.8887837895069	0	0
NR_002819	MALAT1	271381.110579574	-1.62243093355244	0.0307405777567041	-52.7781535660504	0	0
NR_028379	FTX	9354.21640316278	-1.51567896590893	0.0407282196139191	-37.21446653639	3.98211742070376e-303	6.3737771435784e-300
NM_001135554	EPB41L2	10616.7000265785	-1.34706361492855	0.0387221820839763	-34.7879055991006	3.70608442392353e-265	4.94329894077667e-262
NM_032427	MAML2	3885.62315728972	-1.98437281720091	0.0571291399384762	-34.734862442143	2.34613142738587e-264	2.682298544767e-261
NM_133509	RAD51B	12445.414038142	-1.32630160769061	0.0384412459920802	-34.5020452241286	7.4745109150489e-261	7.47731385664208e-258
NM_032870	PNISR	4870.31233701717	-1.62586651767019	0.0488731304066555	-33.2670836539822	1.15592830229555e-242	1.0278771336968e-239
NR_030725	RCC1	11684.2235395993	1.25153999099546	0.038846353606573	32.2176954797552	9.97599678264456e-228	7.98379022515044e-225
NM_001030060	SAMD5	2314.80353546079	-2.12889400079579	0.0664566637928366	-32.0343194992774	3.6301056740219e-225	2.6410668826543e-222
NM_001164346	ZBTB20	3464.11081376505	-1.7092991822266	0.056482491496714	-30.2624607543391	3.57709100913107e-201	2.38562161217299e-198
NR_046229	LOC100508120	6197.088075361	-1.36920285281125	0.0453183807951634	-30.2129694130065	1.60015911278235e-200	9.85082567661317e-198
NM_138714	NFAT5	6240.67779673653	-1.43457735331194	0.0484012959426	-29.6392343505271	4.6682817998469e-193	2.66858994601249e-190
NM_020806	GPHN	16792.9325033144	-1.08436777271272	0.0369978235129298	-29.308961169939	7.9735891697786e-189	4.25417560838254e-186
NM_001165899	PDE4D	16167.7949679656	-1.10050498175758	0.037671776939339	-29.2129830650056	1.3266402925774e-187	6.63568891343559e-185
NM_002737	PRKCA	22942.0125668729	-1.05533846102701	0.0365166926993512	-28.9001654590083	1.18822172260661e-183	5.59372849765925e-181
NR_027176	C17orf76-AS1	8507.29919848754	1.2356247390874	0.0431451813838969	28.6387656617565	2.21244729704233e-180	9.83678651012765e-178
NM_001205194	MECOM	12575.1283701624	-1.04880601956595	0.0370017603499148	-28.3447600775666	9.71212568425918e-177	4.09084957111191e-174
NM_001101676	SAMD12	12470.4034709357	-1.0725196200828	0.0380363567850171	-28.1972226242571	6.32456195699391e-175	2.5307734670911e-172
NM_015172	PRRC2C	6220.7804669426	-1.26643073513941	0.0455469028899973	-27.8049802463634	3.7761567008492e-170	1.43907533699505e-167
NM_003979	GPRC5A	10558.7978398062	-1.10901363394943	0.0399281626171816	-27.7752233325208	8.64276392120816e-170	3.14400180279222e-167
NM_152550	SH3RF2	4853.62782628582	-1.36052877230553	0.0490024600423191	-27.7644993971845	1.16453831363776e-169	4.05208701045348e-167
NM_001252669	GULP1	6002.89680775279	-1.24851606961618	0.0462922845354887	-26.9702841876176	3.29894657687788e-160	1.1000612272814e-157
NM_012423	RPL13A	3413.36977760218	1.53285583980772	0.0591713163137512	25.9053868546691	5.79116121797556e-148	1.85386652909834e-145
NM_000245	MET	8421.32074147372	-1.05726430414076	0.0408653554721198	-25.8718978931206	1.37991407002841e-147	4.2474816547836e-145
NM_000977	RPL13	2523.79963586289	1.82757367078137	0.0711628194114095	25.6815804362068	1.87756507591554e-145	5.56524196390818e-143
NM_022757	CCDC14	3063.60572415738	-1.51717710998847	0.0594702213306119	-25.5115430217428	1.46785423761677e-143	4.1954419513025e-141
NM_003487	TAF15	5357.55134393305	-1.18198226998256	0.0471061891188794	-25.0918678010581	6.10126332067466e-139	1.68373828811584e-136
NM_000899	KITLG	3679.25541867636	-1.35350852058742	0.0540337034807458	-25.0493383461995	1.77507179946349e-138	4.73529987036877e-136
NM_001402	EEF1A1	5419.61774047986	1.22384009723517	0.0489952387291072	24.9787556705609	1.0404225421583e-137	2.68596825964286e-135
NM_003786	ABCC3	8324.36223859461	-1.06075503423737	0.0426160255179754	-24.8909892779641	9.31456519013152e-137	2.32951453801945e-134
NM_016333	SRRM2	10310.448441625	-1.08057937871551	0.0434669580611456	-24.85978837524	2.02663966706908e-136	4.91490825925873e-134
NM_013451	MYOF	9328.81512648718	-1.01122633700948	0.0407590743824087	-24.8098454720041	7.01960170207083e-136	1.65229036534332e-133
NM_001005271	CHD3	2336.10376169691	-1.58504975984551	0.0644291185588315	-24.6014503271246	1.2188356626924e-133	2.78695480243636e-131
NM_001206856	CAPRIN2	1860.71894082328	-1.84037634477978	0.0752404884344062	-24.4599202247896	3.94674758249488e-132	8.77383913964071e-130
NM_133642	LARGE	8128.38193810836	-0.9941151749912	0.0410910209065925	-24.1930025844578	2.63592428072725e-129	5.70143297801626e-127
NM_032865	TNS4	3278.20497573075	-1.49906097460509	0.0623722226915973	-24.034111819572	1.22391174235529e-127	2.57762254580773e-125
NM_001172646	PLCB4	7762.85407001358	-1.02432103324916	0.0426964356912716	-23.9907855694513	3.47022541793517e-127	7.1210805178808e-125
NM_001207008	MLLT4	7440.42816063834	-1.03018557069799	0.0431217186338948	-23.8901788549828	3.87441837607846e-126	7.75174256593899e-124
NM_030906	STK33	3598.77117557446	-1.34728932177077	0.056549880179088	-23.8247953400438	1.84859865480909e-125	3.6083743986432e-123
NM_001204403	ANK3	8562.71225164931	-0.971802219288827	0.0408091135091133	-23.8133626468462	2.42837520489878e-125	4.62721113447737e-123
NR_037918	PRH1-PRR4	12885.0340411731	-0.97859367943603	0.041455733359352	-23.6057500407304	3.36416792542707e-123	6.26126416446346e-121
NM_004999	MYO6	4304.09786221698	-1.20661489182386	0.0518380208389963	-23.2766388896575	7.64592876784409e-120	1.39069018020582e-117
NM_018486	HDAC8	3923.75562957322	-1.2440753607857	0.0539453486815056	-23.0617725381801	1.12068528480615e-117	1.99307651873414e-115
NM_003153	STAT6	2542.35689557438	-1.47763817822172	0.0642158409555502	-23.0104933024942	3.65989102752969e-117	6.36741475941742e-115
NM_001033057	MAGI1	8980.97951534995	-0.930803810264706	0.0406017532880603	-22.9252122109324	2.60457875477397e-116	4.43498803711832e-114
NM_000967	RPL3	4179.81666188783	1.22548802437682	0.0538075933689748	22.7753732818578	8.04524969868897e-115	1.34137777788766e-112
