Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000230590.10_5	ENSG00000230590.10_5	9708.29703079575	-1.76408601258523	0.0427880766869273	-41.2284484178323	0	0
ENSG00000251562.8_3	ENSG00000251562.8_3	281194.595753263	-1.8730949437043	0.0339862249545055	-55.1133568441818	0	0
ENSG00000257261.5_7	ENSG00000257261.5_7	7031.53289756719	-1.87983148988882	0.0455007459442961	-41.3143004774072	0	0
ENSG00000228437.5_5	ENSG00000228437.5_5	4631.70473824597	-2.53468970805459	0.0526289523193534	-48.161507997994	0	0
ENSG00000250903.8_5	ENSG00000250903.8_5	6637.91309091641	-1.588832746434	0.0461870634846716	-34.3999515570264	2.52569365010088e-259	1.1092846511243e-256
ENSG00000226383.6_5	ENSG00000226383.6_5	7380.13585848198	-1.54777216197707	0.0451836171018426	-34.2551628500312	3.65391394865409e-257	1.3373325052074e-254
ENSG00000176124.13_6	ENSG00000176124.13_6	21056.2422012199	-1.3706880560125	0.0403448023948834	-33.9743405506513	5.33270816921095e-253	1.67294673422675e-250
ENSG00000235244.3_4	ENSG00000235244.3_4	3672.87820330924	-1.74406512964903	0.054562815267949	-31.9643537651827	3.41342426124325e-224	9.3698495971127e-222
ENSG00000259240.1_5	ENSG00000259240.1_5	5185.27691519324	-1.55858867803414	0.0490700655377217	-31.7625147012695	2.13308339727669e-221	5.2047234893551e-219
ENSG00000234129.7_5	ENSG00000234129.7_5	2513.7884266136	-1.85985924143493	0.0626406970050566	-29.6909091111294	1.00613634843687e-193	2.20947542116736e-191
ENSG00000258077.2_6	ENSG00000258077.2_6	13994.7058219091	-1.19240596444559	0.0410286185444423	-29.0627860929312	1.0608220617295e-185	2.11778658868907e-183
ENSG00000272369.1_6	ENSG00000272369.1_6	1874.13695988599	-2.05122333550055	0.0706232582098692	-29.0445865497311	1.8011635850329e-185	3.2961293606102e-183
ENSG00000227400.2_6	ENSG00000227400.2_6	3308.88367254822	-1.52879579921455	0.0570638394391264	-26.7909733071048	4.1167933392239e-158	6.9542139791813e-156
ENSG00000275119.1_5	ENSG00000275119.1_5	1513.67155425816	-2.13920485282232	0.0802712918992618	-26.6496876057129	1.8046702080173e-156	2.83075412629e-154
ENSG00000261008.6_6	ENSG00000261008.6_6	3495.12389005109	-1.42330482210823	0.0550320321650481	-25.8632066836921	1.72836614172236e-147	2.53032803148154e-145
ENSG00000233797.1_5	ENSG00000233797.1_5	1761.22811396225	-1.77975842989183	0.0715203883349572	-24.8846304015652	1.09145036445253e-136	1.4980156252111e-134
ENSG00000267374.1_7	ENSG00000267374.1_7	2706.05328728143	-1.58213389800056	0.0643357371085436	-24.591836032457	1.54460003570644e-133	1.9952598108302e-131
ENSG00000245532.8_4	ENSG00000245532.8_4	8500.49171703389	-1.07349277329991	0.0439131702850872	-24.445804443877	5.57692996999216e-132	6.80385456339043e-130
ENSG00000244332.1_6	ENSG00000244332.1_6	2768.85474680102	-1.47846384148907	0.0625065690051943	-23.6529354437325	1.10101313711175e-123	1.27253939426179e-121
ENSG00000231721.7_5	ENSG00000231721.7_5	5551.23334276207	-1.14437152541154	0.0486893421681171	-23.5035322814631	3.75325067165587e-122	4.12106923747815e-120
ENSG00000234741.8_6	ENSG00000234741.8_6	4449.35389385986	1.23899356241822	0.0539423938141864	22.9688279442352	9.55544718310394e-117	9.9922676257601e-115
ENSG00000254186.2_5	ENSG00000254186.2_5	2004.83972766613	-1.52484530573034	0.0677006354311453	-22.5233529348654	2.45103669452974e-112	2.44658026417605e-110
ENSG00000225470.7_4	ENSG00000225470.7_4	3908.10733763995	-1.22541443307287	0.0557450434678485	-21.9824823310011	4.23652853145507e-107	4.04496376307623e-105
ENSG00000203875.11_4	ENSG00000203875.11_4	4118.92718211589	1.21220157070926	0.0554432838923843	21.8638126317003	5.74404188075822e-106	5.25579832089377e-104
ENSG00000215769.8_5	ENSG00000215769.8_5	2154.71503026777	-1.45711635205067	0.0668093763989321	-21.8100576684017	1.86241328909482e-105	1.63594383314089e-103
ENSG00000264772.6_6	ENSG00000264772.6_6	3551.36294530504	1.3332811452535	0.0614010985292636	21.714288134732	1.50354179426812e-104	1.26991453085108e-102
