Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001164586	IGFN1	9349.36605868394	1.98446120495782	0.0442839693720764	44.8121799625563	0	0
NM_001101	ACTB	8222.74600141735	-3.40557149710535	0.0530860122155514	-64.1519555712211	0	0
NM_002149	HPCAL1	11659.2543598081	2.62893533799228	0.0485883857881506	54.1062497827084	0	0
NM_017671	FERMT1	4028.14263956531	2.43077553956686	0.0580100178550109	41.9026855954828	0	0
NM_001172646	PLCB4	6276.57561493372	1.93920262572031	0.0501679822343317	38.6541881764829	0	0
NR_027176	C17orf76-AS1	5622.63471708283	-2.3231130037728	0.0501837597435536	-46.2921274859486	0	0
NM_001177693	RGNEF	14003.6768344438	1.90537453404208	0.040552654433874	46.9851988887441	0	0
NM_001174093	ZEB1	4688.05823997397	2.84801462113225	0.0627769302573304	45.3672170566144	0	0
NM_182734	PLCB1	26922.5579774413	2.16586953433076	0.0422385584050068	51.2770704332095	0	0
NM_021943	ZFAND3	10858.8842306048	1.6369095516609	0.041711341922189	39.2437518484661	0	0
NM_030796	VOPP1	9447.14148996086	1.98172044383074	0.0456106719209207	43.4486132382926	0	0
NM_024776	PEAK1	8556.70002368943	2.99151738431034	0.0481671595558026	62.1069918155463	0	0
NM_003246	THBS1	7319.58567932465	-5.23165404113621	0.0672258420181092	-77.8220678846525	0	0
NM_000358	TGFBI	24277.6175969314	-1.97623861699409	0.0385530798634076	-51.2602008450646	0	0
NR_028393	TSNAX-DISC1	9502.749268836	1.82721250095976	0.0437195660570269	41.7939304012392	0	0
NM_199347	NEK10	7322.81577431654	1.85886687115352	0.0464623910700268	40.0079898675874	0	0
NM_080491	GAB2	4994.85537380191	2.23960209669794	0.0521842164542209	42.917231470988	0	0
NM_001252669	GULP1	9877.79183130477	1.94958126686325	0.0489198658226967	39.852547305204	0	0
NM_001127493	ANK2	10211.3779146465	1.85443830883583	0.0483691339450896	38.3392911467271	0	0
NM_207380	C15orf52	5207.48674868782	-2.32080109162062	0.0547268235112142	-42.407012552904	0	0
NM_012301	MAGI2	14049.7428059513	1.82544061497052	0.0457600385651548	39.891588211216	0	0
NM_007118	TRIO	36516.0033835239	1.5462546299957	0.0360994265980716	42.8332185774469	0	0
NM_018413	CHST11	45047.1652378685	2.34201320355765	0.0435889267712867	53.7295450251923	0	0
NM_007350	PHLDA1	17462.7685012998	-2.13205778172501	0.0399981868789839	-53.3038607018772	0	0
NM_173685	NSMCE2	5587.70383018886	1.91505066844753	0.0492225470580998	38.9059645001122	0	0
NM_001165899	PDE4D	38577.1945833376	2.27184153986739	0.0406068673810827	55.9472248510792	0	0
NM_001170464	CDK17	29113.2796805273	1.39658538852616	0.0356126468006311	39.2159952711354	0	0
NM_152653	UBE2E2	5906.6389614084	2.12041509740771	0.0507920309451457	41.7470035741968	0	0
NM_198270	NHS	5201.17233383447	2.3910450744054	0.0531565460593318	44.981197080348	0	0
NM_001199954	ACTG1	5671.8131373543	-3.24169062797643	0.0547220109483573	-59.2392452652317	0	0
NM_004093	EFNB2	2755.91709987431	-2.54909690223168	0.0668506018906814	-38.1312483379002	0	0
NM_006449	CDC42EP3	4906.75891216795	-2.53052232213092	0.055332445215098	-45.7330651536153	0	0
NM_015385	SORBS1	7642.78275366258	2.45718810365447	0.0481387097078077	51.0439128628313	0	0
NM_001146036	SLC14A1	5504.01780212153	-3.59712939075746	0.0566568954771516	-63.4897016587875	0	0
NM_024817	THSD4	34294.5669124049	1.90245108892187	0.0360776435429394	52.7321327585486	0	0
NR_030725	RCC1	9821.44468807683	-1.60223481129361	0.0423139243687205	-37.865426929723	0	0
NM_152989	SOX5	22548.0574075912	1.59772423791558	0.0419592735529895	38.0779766336481	0	0
NM_003380	VIM	16994.7727783076	-1.90241504589851	0.0394766682325811	-48.1908714963031	0	0
NM_032892	FRMD5	42882.909829861	1.51911619147353	0.035995381975715	42.2030857318984	0	0
NM_004075	CRY1	1729.79566107742	3.83691964431439	0.0945932954031442	40.56227904908	0	0
NM_014705	DOCK4	31138.2336318799	1.44978284434781	0.035843733061273	40.4473173000557	0	0
NM_005401	PTPN14	28565.3322414504	1.65142504681625	0.0361328906524789	45.7042051437131	0	0
NM_005737	ARL4C	6269.50126287294	-2.58436016853968	0.0518651237473207	-49.8284778251046	0	0
NM_005907	MAN1A1	4750.70768182285	1.98256501543749	0.0536518368965731	36.9524163591894	6.66088270369558e-299	1.42830518884927e-296
NM_003558	PIP5K1B	3079.82484392628	2.31321425940523	0.0629202886949833	36.7642028888158	6.89520351890899e-296	1.44569433779792e-293
NM_002599	PDE2A	2166.41556637777	2.65724316254821	0.0726664887486824	36.5676559897961	9.34646339354201e-293	1.91704091561019e-290
NM_001204388	DLG1	7316.08946065709	1.94257788563761	0.0532233427423378	36.4986072942078	1.16681770525371e-291	2.34232447852528e-289
NM_138714	NFAT5	4931.87762391608	1.89436639582831	0.0522099790497929	36.2836076609348	2.9343875813467e-288	5.76790558958461e-286
NM_001244701	ZFP36L1	7152.6056379533	-1.64405282452141	0.0455415716162582	-36.1000458740095	2.2642511680718e-285	4.35983872872601e-283
NM_001508	GPR39	6768.65974144475	1.75510094180903	0.0487312696783851	36.0159083354955	4.71532696760773e-284	8.89782198787579e-282
NM_020928	ZSWIM6	6705.22912833909	1.6627511477654	0.0462386545057539	35.9601974914405	3.50679889905001e-283	6.48757796324251e-281
