Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_002457	MUC2	1025.84398124487	-2.81953867232084	0.0938550019546004	-30.0414321410884	2.82512333063905e-198	9.98963609713969e-195
NM_004431	EPHA2	4110.52594667265	-0.950536178917544	0.04090216707791	-23.2392620446485	1.8266765177812e-119	3.22956408343717e-116
NM_005381	NCL	1399.50866567466	1.49168194920082	0.0720233071426991	20.7111004531542	2.75099823068041e-95	3.24250991456198e-92
NM_001111077	EZR	3936.64955152027	-0.764338059109424	0.0428973475009635	-17.8178396482966	5.13828711355238e-71	4.5422458083803e-68
NM_001145160	TPM4	2337.42032990813	-0.896600320126191	0.053872424108044	-16.6430290630325	3.39976580396963e-62	2.40431437656732e-59
NM_001031714	INF2	1318.93554621878	-1.3086597642345	0.0807178151032047	-16.212774869603	4.09647264963537e-59	2.41418788151845e-56
NM_014000	VCL	1169.59516322218	-1.14849927465989	0.0754178777801683	-15.2284751104717	2.28867441572486e-52	1.15610753342901e-49
NM_001195799	LDLR	2118.68460413141	-0.855501067968806	0.0570117206739524	-15.00570510512	6.7371181869379e-51	2.97780623862655e-48
NM_024418	BZRAP1	329.432558988124	-2.27090486393717	0.151609723820241	-14.9786227869508	1.0129434811467e-50	3.97974238814971e-48
NM_003979	GPRC5A	1862.25163903827	-0.90726811105373	0.0612562840040014	-14.8110210373595	1.24337168048074e-49	4.3965622621799e-47
NM_024585	ARMC7	308.05144245771	-2.2811801894342	0.157059524343417	-14.5243034382704	8.50019538210018e-48	2.73242644282784e-45
NM_032865	TNS4	953.615544874166	-1.21296325532896	0.0836153336348807	-14.5064691199529	1.1025143342887e-47	3.2487422383707e-45
NM_000228	LAMB3	787.15563920025	-1.34085301360342	0.0927737338270189	-14.4529378983873	2.40216900270472e-47	6.53389968735684e-45
NM_001157	ANXA11	1978.48040110685	-0.809567636219163	0.0575389372079788	-14.0699094474568	5.81438058386482e-45	1.46854641032471e-42
NM_001112726	KIAA0284	1319.58825565332	-1.01286204020072	0.0722764076854542	-14.0137296890664	1.28476587215891e-44	3.02862141596928e-42
NM_152328	ADSSL1	217.613739528836	-2.70182647291983	0.197600466654444	-13.6731786046066	1.46838135964117e-42	3.24512280480699e-40
NR_003138	SNHG10	209.648629537852	-2.77290465230933	0.203775481038062	-13.6076462103475	3.60673721939556e-42	7.50201341634276e-40
NM_001035534	FAM129B	897.834555237161	-1.15751766966142	0.0869260797077224	-13.3161149513866	1.86566310767283e-40	3.66499152707284e-38
NM_001110556	FLNA	424.412923996372	-1.67473455359189	0.127600119144881	-13.1248666914671	2.37199793874569e-39	4.4144130060025e-37
