Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_004443	EPHB3	1801.78207025623	2.45645700574212	0.0563164033125253	43.6188545655184	0	0
NM_001202233	NR4A1	6184.8633053629	1.59547374053601	0.0341009020456551	46.7868485824788	0	0
NM_024418	BZRAP1	2235.35347374698	2.53265843478579	0.0499915854324444	50.661694620753	0	0
NM_017617	NOTCH1	4489.7539447426	1.92179167210531	0.037444361854744	51.3239264047395	0	0
NM_006516	SLC2A1	12388.8794330879	1.42808848631639	0.0252603075858987	56.5348811157629	0	0
NM_001130045	TTLL10	1284.66057445586	2.50910222641454	0.0652937225296592	38.4279242966243	0	0
NM_012101	TRIM29	1215.74711538294	2.78648699003213	0.0692915183879493	40.2139692542332	0	0
NM_001020820	MYADM	1916.01491638571	3.0655997537182	0.0573286167138925	53.4741622847374	0	0
NM_002823	PTMA	2517.95701052677	2.44467540006318	0.0467600248510611	52.2813109670045	0	0
NR_001564	XIST	2483.25036325995	-3.98163274411289	0.0916821567143681	-43.4286548964757	0	0
NM_170708	LMNA	2122.34438609097	1.9158372218482	0.0498252757681098	38.4511112545495	0	0
NM_000791	DHFR	4337.77667120062	4.50954454798175	0.0490410220564997	91.9545384430682	0	0
NM_001113491	SEPT9	4844.76007358102	1.51104857587885	0.0353770754880709	42.7126480929259	0	0
NM_006401	ANP32B	1782.08940934744	2.3034043453177	0.0541781486614837	42.5153757045085	0	0
NR_030725	RCC1	2221.73778471485	2.93181327899893	0.0528823331549205	55.4403163417561	0	0
NM_005381	NCL	5684.27760808123	2.33261398268584	0.0336343326163808	69.3521708692919	0	0
NM_033103	RHPN2	3247.19795283602	1.71535643870083	0.0403096468149717	42.5544894147701	0	0
NR_045962	KRT8	5218.84154903084	1.92922398405404	0.0338255742714716	57.0344783674862	0	0
NM_002230	JUP	3877.69135807322	1.47955991262652	0.0378740288145538	39.0652898288437	0	0
NM_020310	MNT	1625.22292142193	2.25152549780729	0.0561079972565139	40.1284238949715	0	0
NR_002819	MALAT1	51323.3836189054	-0.826029019153645	0.019109194641839	-43.226783474437	0	0
NM_004431	EPHA2	8240.75809960127	1.19731410700727	0.0322311199898888	37.1477661149497	4.76365902582591e-302	1.32083272988809e-299
NM_005682	GPR56	2710.5091502622	1.62930995258664	0.0442861035979213	36.7905464743373	2.61499678757767e-296	6.935426262706e-294
NM_007355	HSP90AB1	1904.2797942281	2.04008495176912	0.0555666325923001	36.7142088083239	4.33335696937925e-295	1.10139489638389e-292
NM_004433	ELF3	2308.83783264333	1.7770146391152	0.0485433961849341	36.6067226187753	2.23578790568361e-293	5.455322489868e-291
NM_001159746	ABR	8604.0441001142	1.11892836096058	0.0307333583436341	36.4076176918148	3.22535035841869e-290	7.5671681485977e-288
NM_001195799	LDLR	4011.33475216818	1.35156323312577	0.0374741517375079	36.0665464182607	7.59083689687097e-285	1.71496685447826e-282
NM_004524	LLGL2	3375.01651884299	1.4224213628227	0.0394771328571626	36.031526604765	2.6852054718004e-284	5.84991192070801e-282
NM_001256401	ELOVL1	637.025676581962	3.8636782014349	0.10943139327818	35.3068537801875	4.60940788602523e-273	9.6956510706048e-271
NM_025249	KIAA1683	1034.21425851353	2.44321174045072	0.0707922414386529	34.5124224180408	5.22319983236701e-261	1.06205063258129e-258
NM_001145160	TPM4	4793.4803561585	1.216779154283	0.0366677863885677	33.1838726611095	1.83959161191406e-241	3.61984155892767e-239
NM_001769	CD9	3863.46639073508	1.23220584635518	0.037551771599423	32.8135210103939	3.77704815803726e-236	7.1999980512585e-234
NM_015995	KLF13	2288.58485648793	1.59821209977933	0.0491993227507979	32.484432923488	1.76909398488559e-231	3.2701434266067e-229
