Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001190452	MTRNR2L1	9853.79091692006	3.27505455081934	0.165232647635558	19.8208683192131	1.96685641891005e-87	1.55381657093894e-83
NM_000791	DHFR	1658.43890114819	2.266181833892	0.164798215060169	13.7512523000605	5.00555203734516e-43	1.97719305475134e-39
NM_207173	NPSR1	5082.59295760624	-2.31513845661777	0.171256718912892	-13.5185262879837	1.21587121428304e-41	3.201794197612e-38
NR_015379	UCA1	432.633040402918	-4.03365150382331	0.299224790579424	-13.4803386310756	2.04167627268278e-41	4.03231063854848e-38
NM_015385	SORBS1	686.793355837902	2.45423339710626	0.187132828154001	13.1149270885093	2.70442202000115e-39	4.27298679160181e-36
NM_058172	ANTXR2	2817.9016228244	-2.15641078717932	0.167474806713318	-12.8760309057747	6.14135518880776e-38	8.08611766526355e-35
NR_038340	LOC100505817	1474.11758119864	-1.92429615739246	0.168627441158607	-11.4115243887412	3.66253755059598e-30	4.1334352356726e-27
NM_001077500	KLK10	501.62252731208	-2.5023957247926	0.230850235777368	-10.8399097638605	2.22690596343091e-27	2.19906963888802e-24
NR_003138	SNHG10	268.921072087632	2.59336229894361	0.244012746901693	10.6279787915687	2.20846821350034e-26	1.93854432073919e-23
NM_001134437	PHLDB2	679.428937452488	-1.99103769251466	0.195366999713256	-10.1912692288715	2.16913509746981e-24	1.71361672700115e-21
NM_023944	CYP4F12	231.875809127262	-2.95182099205208	0.30150829111972	-9.79018182581254	1.24072567348439e-22	8.9106662004788e-20
NM_152553	RNF217	1083.46541211537	-2.0544789549346	0.212713742258374	-9.65842137476536	4.52787204277157e-22	2.98084909482462e-19
NM_183394	CADPS	2189.05614379342	-1.49063000427677	0.160101998613726	-9.31050216226953	1.27229383220335e-20	7.73163174954345e-18
NM_016341	PLCE1	1151.54230103529	-1.66932465112341	0.181791523032911	-9.18263196915513	4.20681083394182e-20	2.37384325629574e-17
NM_001145098	SKIL	713.547307041688	-1.71621086263572	0.196390956912411	-8.73874688334624	2.35710319429094e-18	1.24140768232656e-15
NM_005886	KATNB1	284.525898917401	2.04859869901227	0.239156474522461	8.56593451255224	1.07202803784716e-17	5.29313843687034e-15
NM_145305	SLC25A43	3397.06416421065	1.96186637568349	0.229794859446232	8.53746850739511	1.37194347039742e-17	6.37550200949387e-15
NM_000980	RPL18A	842.48819103157	1.52020144406737	0.17910747854213	8.48764918383788	2.10858967336516e-17	9.2543657886582e-15
NM_018140	CEP72	1410.53762630055	1.38958246415446	0.164155561123717	8.4650343530378	2.56077201907553e-17	1.06474205003667e-14
NM_139055	ADAMTS15	527.575285780207	1.65154641453742	0.195663120556691	8.44076497317694	3.15267497505764e-17	1.24530661514777e-14
NM_001080396	FAM155A	5538.66627289565	-1.67987334447705	0.199248817831525	-8.43103293038088	3.4262731090862e-17	1.28893131246576e-14
NM_001098213	HRH1	447.51770457646	-1.83506531572314	0.222048380112925	-8.26425896369927	1.40565172387734e-16	5.04756755392318e-14
NM_000492	CFTR	1443.1314868693	-1.50777029845535	0.183907711714159	-8.19851589909848	2.43372881841592e-16	8.35932941977641e-14
NM_001205194	MECOM	2456.66575983312	-1.46698806225219	0.180502852844577	-8.12722923285513	4.39214297631882e-16	1.44574706303828e-13
NM_001136265	IFFO2	1817.02847478063	1.48545618178364	0.18291788282406	8.12089096402033	4.62773659643389e-16	1.46236476447311e-13
NM_003385	VSNL1	1425.98772330002	1.3314640964913	0.164350176662306	8.10138524661938	5.43368842366976e-16	1.65100532873043e-13
NM_007231	SLC6A14	180.770001532236	-2.45907229668928	0.304903034284661	-8.06509617871976	7.31782331666906e-16	2.14114089635873e-13
NM_001191323	GREM1	176.185297187394	-2.81347699677966	0.356111064674757	-7.90056045955568	2.7765212221065e-15	7.83375630522906e-13
NM_017699	SIDT1	651.852746862619	-1.51469120825812	0.195770697624184	-7.73706804256187	1.01735618933728e-14	2.77141858474638e-12
NM_138737	HEPH	956.689528380713	-1.40854593451385	0.182750334845922	-7.70748757150788	1.28318798246222e-14	3.3790616871505e-12
NM_004929	CALB1	598.885982893071	-1.65832078083915	0.215789756384657	-7.68489111171295	1.53127176921813e-14	3.90227321833007e-12
NM_152550	SH3RF2	1350.35393703101	-1.3041017026507	0.173222051731086	-7.52849703382581	5.13276836554873e-14	1.26715219024484e-11
NM_005961	MUC6	7740.70433446245	-1.51219510901829	0.201200815949573	-7.51584978361764	5.65424464337374e-14	1.35359189947432e-11
NM_000245	MET	1267.97799661668	-1.26308945830338	0.169978403241214	-7.43088200746862	1.07875910219583e-13	2.50652850216089e-11
NM_002458	MUC5B	1684.39563625575	1.205466138379	0.162678668446771	7.41010576179774	1.26198733750823e-13	2.84848570466143e-11
NM_003683	RRP1	597.931816143609	1.40885251598134	0.190848695932254	7.38203899743409	1.55883515070522e-13	3.42077713626979e-11
NM_017617	NOTCH1	2069.19656923055	1.17351959998741	0.159995381502772	7.33470922076011	2.2220339191699e-13	4.74434269228168e-11
NM_004626	WNT11	329.805531362394	1.80208745188335	0.245974373891922	7.32632193902915	2.36555136080064e-13	4.91785677640134e-11
NM_003667	LGR5	1855.42405778132	-1.20738088066896	0.164951649106312	-7.31960478849652	2.48702309726776e-13	5.03781601754238e-11
NM_030647	JHDM1D	1313.19759593485	-1.25646748258536	0.172051007610345	-7.3028777920962	2.81677008220129e-13	5.56312091234755e-11
NM_006648	WNK2	2336.95420581768	1.14887398496347	0.157626435336991	7.28858698420273	3.13222640309651e-13	6.03526550840548e-11
NM_004148	NINJ1	368.874099912997	1.73397667061529	0.238501642264268	7.27029237263694	3.58710261549052e-13	6.7471692053274e-11
NM_013432	TONSL	640.457816645077	1.35913592939082	0.18723803516617	7.25886665166407	3.90347050931718e-13	7.1714923310711e-11
NM_194260	UBE2I	1575.60611586325	1.16349136913433	0.161988424894265	7.18255869142364	6.84186738764176e-13	1.22842619005386e-10
NM_022405	SLC6A20	842.539458050792	-1.33176535829589	0.186479755882185	-7.14160822441916	9.22452037787412e-13	1.61941579967123e-10
NM_003238	TGFB2	602.307846726536	-1.40586195628997	0.197020325909452	-7.13561887485706	9.63526458034381e-13	1.65475196053731e-10
NM_001967	EIF4A2	1573.90519525348	1.23778495096117	0.174757161418081	7.08288542178794	1.41183405937416e-12	2.37308278065018e-10
NM_001206856	CAPRIN2	242.162924609806	-1.87282083089601	0.266644909181078	-7.02365117956999	2.16144036019597e-12	3.55737059282254e-10
NM_002644	PIGR	1567.78732850613	-1.44577137426513	0.206242578178653	-7.01005285636395	2.38228108763713e-12	3.84082052904762e-10
NM_199054	MKNK2	1052.11575151768	1.23994214020911	0.177896094986257	6.97003574083452	3.16860476950115e-12	5.00639553581181e-10
NM_001457	FLNB	3757.77152989176	-1.09232160461995	0.158353111878298	-6.89801161255013	5.27354368879642e-12	8.16882257676308e-10
NM_001004	RPLP2	537.261555394872	1.63431821792844	0.238479792748392	6.85306792283541	7.22827432098077e-12	1.09814167568746e-09
NM_014938	MLXIP	2479.3355469177	1.06956592468173	0.156886690827928	6.81744205985468	9.2675761178629e-12	1.38139342134183e-09
NM_033420	C19orf6	727.146697076648	1.35464998120943	0.198981815718643	6.80790843282326	9.90278568274676e-12	1.44874086840184e-09
NR_037926	SENP3-EIF4A1	2011.23491636951	1.09764479521901	0.163429120985795	6.71633542784832	1.86351554372059e-11	2.67668596279867e-09
NM_019034	RHOF	462.621491893753	-1.49033426183779	0.222412363850235	-6.70077074870409	2.0732308098811e-11	2.92473632108227e-09
NM_006822	RAB40B	570.273280883801	1.27347341562422	0.191657594257254	6.64452363893751	3.04199286446395e-11	4.2160953735553e-09
NM_001004106	GRK6	652.012805019323	1.39597625257667	0.212282006742462	6.57604605307061	4.83122969711063e-11	6.46893467918202e-09
NM_003200	TCF3	2165.44843131925	1.05478379454983	0.16039607816793	6.57611960714837	4.82884164601012e-11	6.46893467918202e-09
NM_001135554	EPB41L2	2305.31923274357	-1.17824006333016	0.179439037487234	-6.56624154826944	5.16010877477169e-11	6.79414322011606e-09
NM_000950	PRRG1	395.433613356676	-1.47779026510524	0.225221233049733	-6.56150508144547	5.32673598178326e-11	6.89313920085628e-09
NM_032865	TNS4	7639.50327251218	-1.46176053998761	0.222856607552619	-6.55919766544266	5.40980544877328e-11	6.89313920085628e-09
NM_014988	LIMCH1	1443.04432601692	-1.20527777457795	0.185636007657164	-6.49269390022589	8.43148929455557e-11	1.05728199090459e-08
NM_001171631	NOSTRIN	559.15633091205	-1.28831509105574	0.198617486505194	-6.48641322435652	8.79038689914858e-11	1.08506338286365e-08
NM_032151	PCBD2	2432.47238058514	1.10730565390338	0.171027411507269	6.47443380066776	9.51681232096001e-11	1.15665872823975e-08
NR_031766	TESC	519.120450778716	1.30765763872815	0.202573352709886	6.45523027207288	1.08054473510092e-10	1.29337930413595e-08
NM_004104	FASN	1629.90151403848	1.03840507216442	0.161243717158707	6.43997230070272	1.19495307764579e-10	1.40897452438832e-08
NM_001164496	WDR52	727.003385730817	-1.24213624551014	0.194369824797447	-6.39058170065531	1.65255879150052e-10	1.9198844783609e-08
NM_005814	GPA33	1231.16019561741	-1.44157491440869	0.225682776884328	-6.38761599050851	1.68491800071956e-10	1.9291090153166e-08
NM_018125	ARHGEF10L	6309.49101777507	0.971201925135925	0.152235904262945	6.37958522227742	1.77568250027382e-10	2.00398453602332e-08
NM_004443	EPHB3	2258.20533221845	1.03271905608636	0.162432235645265	6.357845485435	2.04603120493024e-10	2.18427655661471e-08
NM_001536	PRMT1	806.98929057393	1.22220899186202	0.192228058140378	6.35811964021133	2.0423837628893e-10	2.18427655661471e-08
NM_005882	MAEA	1346.15527658612	1.09447324397373	0.17202889650353	6.36214767529636	1.98952017084332e-10	2.18427655661471e-08
NM_002386	MC1R	486.857277098175	1.34210951872875	0.210969063087032	6.36164136622766	1.99609074397803e-10	2.18427655661471e-08
NM_004433	ELF3	2123.89820095198	1.00537644627737	0.159075712667826	6.32011279042168	2.61372459956981e-10	2.7531232448802e-08
NM_139248	LIPH	1346.79397015004	1.04950060938041	0.166849659406951	6.29009740331951	3.17266837056145e-10	3.29790527992571e-08
NM_001178096	F3	368.382037276393	-1.69141370686799	0.270366042157252	-6.25601385947804	3.94941664333921e-10	4.05199889381555e-08
NM_021220	OVOL2	471.60023377653	-1.28343796820848	0.206156460546674	-6.22555298439415	4.79860445706744e-10	4.86012502702985e-08
NM_001946	DUSP6	117.935675793576	-2.47158080880165	0.399177351783588	-6.19168597055476	5.95240525230005e-10	5.8780001866463e-08
NM_003483	HMGA2	1304.90061352189	-1.04415105039386	0.168604324576788	-6.19290788071288	5.90642524718356e-10	5.8780001866463e-08
NM_012140	SLC25A10	520.819341675943	1.29979369386126	0.21095692613299	6.16141748786126	7.20966350317399e-10	7.03164712037957e-08
NM_000979	RPL18	591.007496442094	1.26957895259522	0.206371721939029	6.15190366522358	7.65583784710742e-10	7.37574621855471e-08
NM_006351	TIMM44	691.119497241195	1.16072535419727	0.18879095258489	6.14820434085871	7.83650359960751e-10	7.45884077553004e-08
NM_001955	EDN1	162.439537699478	-1.95513765887526	0.318570984809201	-6.13721196249631	8.39823002610954e-10	7.8054137889724e-08
NM_018486	HDAC8	741.253955540312	-1.19239709487634	0.194248527218243	-6.13851292440768	8.32975367825583e-10	7.8054137889724e-08
NM_004420	DUSP8	677.245972289822	1.13913095341829	0.188305553056312	6.04937525701981	1.45408603586977e-09	1.33573019574083e-07
NM_001167608	RHBDD1	808.418213951904	-1.24108930950095	0.205318664365034	-6.04469794959522	1.49690168508837e-09	1.35925555312622e-07
NM_000416	IFNGR1	350.897824667672	-1.40402124562213	0.23253903161236	-6.03778744534644	1.56241681179859e-09	1.40262418331919e-07
NM_001627	ALCAM	2843.96874050789	-1.33973558093799	0.222225841944679	-6.02871191403339	1.6527158714311e-09	1.46701745891075e-07
NM_001030060	SAMD5	875.897906119072	-1.10057234335844	0.183231966892097	-6.00644288235223	1.89637739275669e-09	1.66459793364199e-07
