Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_006516	SLC2A1	9063.59851911828	1.7052578313091	0.0298103232411272	57.2036008303486	0	0
NM_014000	VCL	6820.81885411313	2.16706128869238	0.0362684416428242	59.7506038454549	0	0
NM_002417	MKI67	5929.63441293054	-1.39408533611722	0.033413358733328	-41.7223945441528	0	0
NM_005252	FOS	3053.19703158181	2.07923408664358	0.0537540237279259	38.6805292412629	0	0
NM_003406	YWHAZ	8832.14071144932	1.34032232045075	0.0293711137913474	45.6340311086741	0	0
NM_133509	RAD51B	9289.10952729909	-1.21735084673972	0.0264466082214566	-46.030509339646	0	0
NM_004924	ACTN4	9006.15549163755	1.58864646651091	0.0297005589359863	53.4887733909293	0	0
NM_001002857	ANXA2	4369.37276022428	2.07494941350915	0.0447862880298856	46.3300153860607	0	0
NM_003979	GPRC5A	5876.95659243278	1.75120803693885	0.0371801922989527	47.1005642697596	0	0
NM_004431	EPHA2	7807.43976365273	2.95584008308891	0.0387310916038776	76.3169836089253	0	0
NR_045962	KRT8	11020.3059601962	1.60381920528764	0.0272582576953832	58.8379207215171	0	0
NR_002819	MALAT1	348236.592737736	-1.23427215019143	0.00561097753056897	-219.97453090251	0	0
NM_016531	KLF3	5683.46773106464	2.30663179405646	0.0406652996148931	56.7223607326303	0	0
NR_028379	FTX	20698.2344750186	-1.80626307634027	0.0182780477331414	-98.8214443200728	0	0
NR_027653	KLF6	4535.46403660301	1.97419360575312	0.0433369985246633	45.554460921644	0	0
NM_005253	FOSL2	2829.41303340526	2.78080542129962	0.0617519148581741	45.0318897427928	0	0
NM_002999	SDC4	2591.8010339213	2.37539873213307	0.0617389438701215	38.4748844607729	0	0
NM_001005376	PLAUR	3660.88290026954	3.13682967813209	0.0578759001869922	54.1992378174207	0	0
NM_001111077	EZR	11074.529212639	2.2727386235479	0.0289343326350751	78.5481611831895	0	0
NM_022164	TINAGL1	3782.93461571846	1.75243485509854	0.046374325024495	37.7889026777835	0	0
NM_005803_1	FLOT1	2373.41894102166	2.4455031589051	0.0638854355373834	38.2795098496915	0	0
NM_001195799	LDLR	11056.5323845998	2.30579820827623	0.029216068286281	78.9222624236187	0	0
NM_000210	ITGA6	15520.8241339741	1.32861407235093	0.0222171696533845	59.8012299981936	0	0
NM_145109	MAP2K3	2593.84946539573	2.42881563873939	0.0609899537472017	39.8232084058734	0	0
NR_001564	XIST	13146.8252464851	-1.91226427967051	0.0231831917518371	-82.484944270841	0	0
NM_001126337	TUFT1	4390.44436941293	2.51882548714423	0.0476590680525444	52.8509177805829	0	0
NM_181673	OGT	4666.934625372	-1.44421680058163	0.037526721631731	-38.4850244781432	0	0
NM_001101676	SAMD12	10990.2449004944	-0.990440315688073	0.0242695612685872	-40.8099802352023	0	0
NM_001677	ATP1B1	5723.41585227036	1.61867985874757	0.038122130024406	42.4603729568961	0	0
NM_001145160	TPM4	3652.36125818795	1.84155082824049	0.0496545199672819	37.0872748231967	4.50570832319169e-301	8.28900141189832e-299
NM_004433	ELF3	2984.81528238246	1.94258989468872	0.0532556739233297	36.4766747198692	2.59905580799946e-291	4.62715774333839e-289
NM_000445	PLEC	3906.13625538326	1.63240863061396	0.0449984322589388	36.2770111905329	3.72848618453635e-288	6.4304735163925e-286
NM_052925	LENG8	4150.58651688338	-1.51073868355037	0.0426152904393362	-35.4506250685055	2.8370515693708e-275	4.7447538216235e-273
NM_001191	BCL2L1	10654.9133776302	0.927790020796881	0.0265596582834798	34.9323026258199	2.40443586049617e-267	3.9029651511995e-265
NM_001769	CD9	2544.60437340703	1.96151554593207	0.0577196347829277	33.9835058435305	3.90463049867001e-253	6.15704449204565e-251
NM_170708	LMNA	1893.97927469869	2.37847595606934	0.0710923249903012	33.4561565737769	2.09430728335158e-245	3.21068941578261e-243
NM_002078	GOLGA4	5175.07443894294	-1.17264981656544	0.0354450802987749	-33.0835706022077	5.12105618938229e-240	7.63867813762185e-238
NM_001199620	NCOA7	3081.59680090456	1.77920034770095	0.0538474652387957	33.0414874648376	2.06147362633582e-239	2.994019195723e-237
NM_001005242	PKP2	5125.10327037483	1.29303025506654	0.0394853976091384	32.7470491209461	3.34460710964292e-235	4.733047855928e-233
NM_001184823	VDAC2	2503.88438368219	1.89736052197124	0.0587397778893179	32.3011184268758	6.74641410121418e-229	9.30836485615027e-227
NM_001114171	FOSB	1435.68165936831	2.80559846169189	0.0869450411369214	32.2686426391313	1.9268893103447e-228	2.59378100092499e-226
NM_023929	ZBTB10	1577.09160679464	2.57488228166195	0.0799070157394746	32.2234819788162	8.27764273190447e-228	1.08772167231859e-225
NM_006598	SLC12A7	3456.29520245713	1.52621649615041	0.0473792477786366	32.2127633448537	1.16957385511881e-227	1.501134443349e-225
NR_036488	LOC100499467	14179.826144464	0.701299442482535	0.0220767772531607	31.7663866623526	1.88599619143907e-221	2.36563931376186e-219
NM_001167740	SMYD3	6345.64378468455	-1.00299437697919	0.0318250880966929	-31.5158397655282	5.27082191532867e-218	6.46437025571088e-216
NM_025113	KIAA0226L	2231.07610569055	1.97642601017051	0.0627370622152673	31.5033241975673	7.82202153099146e-218	9.38472539772649e-216
NM_001017536	VDR	3326.68697400481	1.51262748851677	0.0481167129077735	31.4366339075584	6.39307184570199e-217	7.50709862051687e-215
NM_000820	GAS6	9107.68750457174	-0.912471957238392	0.0294445948188313	-30.9894553772165	7.4768037106647e-211	8.59676659982471e-209
NM_017817	RAB20	3371.63417719056	1.4600768011158	0.0475155317535836	30.728411263243	2.3760740623745e-207	2.676235255152e-205
